Name,SKUs,Routes,Vehicles,Customers,Instance,BIS Obj1,BB Obj1,CPU Obj1,V Obj1,BIS Obj2,BB Obj2,CPU Obj2,Greedy Obj1,Greedy Obj2,Greedy CPU,Gap Obj 1 01,Gap Obj 1 02,Gap Obj 1 03,Gap Obj 1 04,Gap Obj 1 05,Gap Obj 1 06,Gap Obj 1 07,Gap Obj 1 08,Gap Obj 1 09,Gap Obj 1 10,Gap Obj 1 11,Gap Obj 1 12,Gap Obj 1 13,Gap Obj 1 14,Gap Obj 1 15,Gap Obj 1 16,Gap Obj 1 17,Gap Obj 1 18,Gap Obj 1 19,Gap Obj 1 20,Gap Obj 1 21,Gap Obj 1 22,Gap Obj 1 23,Gap Obj 1 24,Gap Obj 1 25,Gap Obj 1 26,Gap Obj 1 27,Gap Obj 1 28,Gap Obj 1 29,Gap Obj 1 30,Gap Obj 1 31,Gap Obj 1 32,Gap Obj 1 33,Gap Obj 1 34,Gap Obj 1 35,Gap Obj 1 36,Gap Obj 1 37,Gap Obj 1 38,Gap Obj 1 39,Gap Obj 1 40,Gap Obj 1 41,Gap Obj 1 42,Gap Obj 1 43,Gap Obj 1 44,Gap Obj 1 45,Gap Obj 1 46,Gap Obj 1 47,Gap Obj 1 48,Gap Obj 1 49,Gap Obj 1 50,Gap Obj 1 51,Gap Obj 1 52,Gap Obj 1 53,Gap Obj 1 54,Gap Obj 1 55,Gap Obj 1 56,Gap Obj 1 57,Gap Obj 1 58,Gap Obj 1 59,Gap Obj 1 60,Gap Obj 2 01,Gap Obj 2 02,Gap Obj 2 03,Gap Obj 2 04,Gap Obj 2 05,Gap Obj 2 06,Gap Obj 2 07,Gap Obj 2 08,Gap Obj 2 09,Gap Obj 2 10,Gap Obj 2 11,Gap Obj 2 12,Gap Obj 2 13,Gap Obj 2 14,Gap Obj 2 15,Gap Obj 2 16,Gap Obj 2 17,Gap Obj 2 18,Gap Obj 2 19,Gap Obj 2 20,Gap Obj 2 21,Gap Obj 2 22,Gap Obj 2 23,Gap Obj 2 24,Gap Obj 2 25,Gap Obj 2 26,Gap Obj 2 27,Gap Obj 2 28,Gap Obj 2 29,Gap Obj 2 30,Gap Obj 2 31,Gap Obj 2 32,Gap Obj 2 33,Gap Obj 2 34,Gap Obj 2 35,Gap Obj 2 36,Gap Obj 2 37,Gap Obj 2 38,Gap Obj 2 39,Gap Obj 2 40,Gap Obj 2 41,Gap Obj 2 42,Gap Obj 2 43,Gap Obj 2 44,Gap Obj 2 45,Gap Obj 2 46,Gap Obj 2 47,Gap Obj 2 48,Gap Obj 2 49,Gap Obj 2 50,Gap Obj 2 51,Gap Obj 2 52,Gap Obj 2 53,Gap Obj 2 54,Gap Obj 2 55,Gap Obj 2 56,Gap Obj 2 57,Gap Obj 2 58,Gap Obj 2 59,Gap Obj 2 60
S100R10V5C5#1,100,10,5,5,1,25952256,25952256,3.63,5,5,5,0.26,25255936,5,0.125,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C5#2,100,10,5,5,2,53170176,53170176,5.35,5,5,5,0.67,52183040,5,0.09375,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C5#3,100,10,5,5,3,11094272,11094272,11.62,5,5,5,0.53,10807840,5,0.109375,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C5#4,100,10,5,5,4,65062208,65062208,11.15,5,5,5,1.16,62792192,5,0.125,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C5#5,100,10,5,5,5,45324160,45324160,10.2,5,5,5,0.45,42769408,5,0.09375,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C10#1,100,10,5,10,1,64954368,64954370,3.97,5,5,5,0.18,62601216,5,0.140625,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C10#2,100,10,5,10,2,46434304,46434304,4.88,5,5,5,0.29,44695552,5,0.09375,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C10#3,100,10,5,10,3,43992064,43992064,6.23,5,5,5,0.56,43909120,5,0.109375,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C10#4,100,10,5,10,4,36356096,36356096,4.61,5,5,5,0.62,36114432,5,0.171875,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S100R10V5C10#5,100,10,5,10,5,25575424,25575424,4.54,5,5,5,0.67,23162880,5,0.125,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
